CustomerKey,Buy_Label,Purchase_Probability,Predicted_Sales_Amount,Marketing_Cost,Expected_Profit,Selected_By
12296,1,1.0,13181.272181999986,5000,8181.272181999986,Both
12124,1,1.0,13175.15798199999,5000,8175.15798199999,Both
12131,1,1.0,13002.259524999987,5000,8002.259524999987,Both
12301,1,0.99,13035.190363999985,5000,7904.838460359986,Expected Profit Top 20%
12307,1,1.0,12870.856199999975,5000,7870.856199999975,Both
12308,1,1.0,12671.17950900001,5000,7671.1795090000105,Both
12132,1,1.0,12559.018153000014,5000,7559.018153000014,Both
11433,1,0.96,12870.95438299998,5000,7356.116207679981,Expected Profit Top 20%
12300,1,0.99,12019.501849999984,5000,6899.306831499984,Expected Profit Top 20%
12321,1,1.0,10924.38415700001,5000,5924.3841570000095,Both
11242,1,0.99,10894.204459000015,5000,5785.2624144100155,Expected Profit Top 20%
11417,1,1.0,10607.138884999995,5000,5607.138884999995,Both
11439,1,1.0,10563.909376000005,5000,5563.909376000005,Both
11420,1,1.0,10532.172938999996,5000,5532.172938999996,Both
11423,1,1.0,10286.954745999985,5000,5286.954745999985,Both
11241,1,1.0,10283.153370999995,5000,5283.153370999995,Both
11429,1,1.0,10265.95725499999,5000,5265.95725499999,Both
11425,1,0.99,10264.697076999995,5000,5162.050106229995,Expected Profit Top 20%
11245,1,1.0,10069.399102999989,5000,5069.399102999989,Both
11427,1,1.0,9894.912527999993,5000,4894.9125279999935,Both
11412,1,1.0,9819.574487999995,5000,4819.574487999995,Both
11431,1,1.0,9807.731717,5000,4807.731717000001,Both
11249,1,1.0,9782.891617000005,5000,4782.891617000005,Both
11428,1,1.0,9631.958328000006,5000,4631.958328000006,Both
11237,1,0.97,9851.837900000004,5000,4556.282763000003,Expected Profit Top 20%
11246,1,0.98,9712.739699999987,5000,4518.484905999987,Expected Profit Top 20%
13577,1,0.97,9583.437617000005,5000,4295.934488490004,Expected Profit Top 20%
13595,1,0.97,9545.17759999999,5000,4258.82227199999,Expected Profit Top 20%
13257,1,1.0,9258.635534000005,5000,4258.635534000005,Both
14200,1,0.98,9267.000029999988,5000,4081.660029399989,Expected Profit Top 20%
13258,1,1.0,8970.849449000014,5000,3970.849449000014,Both
11432,1,1.0,8964.66963800001,5000,3964.6696380000103,Both
12125,1,1.0,8655.79332700001,5000,3655.7933270000103,Both
12129,1,1.0,8521.570283000008,5000,3521.570283000008,Both
12128,1,0.99,8595.652821000009,5000,3509.6962927900095,Expected Profit Top 20%
14427,1,0.99,8558.338931000006,5000,3472.755541690005,Expected Profit Top 20%
11421,1,0.93,9032.64123800001,5000,3400.3563513400095,Expected Profit Top 20%
11750,1,1.0,8150.796700000009,5000,3150.796700000009,Both
12302,1,0.99,8206.789766999998,5000,3124.7218693299983,Expected Profit Top 20%
15106,1,0.97,8375.578900000011,5000,3124.311533000011,Expected Profit Top 20%
11488,1,1.0,8106.564799999997,5000,3106.5647999999974,Both
11919,1,0.99,8178.322900000008,5000,3096.5396710000077,Expected Profit Top 20%
11916,1,0.99,8176.949800000007,5000,3095.180302000006,Expected Profit Top 20%
11351,1,1.0,8093.037000000006,5000,3093.0370000000057,Both
11151,1,1.0,8092.338500000015,5000,3092.3385000000153,Both
11491,1,1.0,8091.320350000005,5000,3091.3203500000054,Both
