CustomerKey,Buy_Label,Purchase_Probability,Predicted_Sales_Amount,Marketing_Cost,Expected_Profit
14234,1,0.9760375309206902,3264.523868553088,5000,-1813.7021837057841
14020,1,0.975009416090838,3262.567977060988,5000,-1818.9655017290993
14226,1,0.9760375309206902,3257.4297342726295,5000,-1820.6263250129027
14262,1,0.9760375309206902,3250.9529052458224,5000,-1826.9479532244227
14030,1,0.975009416090838,3249.9342729911355,5000,-1831.283482157311
14681,1,0.9758816567911139,3227.892183775599,5000,-1849.9592277539818
14225,1,0.9758816567911139,3224.7536373661064,5000,-1853.022077623993
14263,1,0.9758816567911139,3224.7536373661064,5000,-1853.022077623993
14322,1,0.9758816567911139,3224.7536373661064,5000,-1853.022077623993
14324,1,0.9758816567911139,3217.6007682479553,5000,-1860.0024313898243
14033,1,0.9743387138571821,3222.2580026341807,5000,-1860.4292819973998
14326,1,0.9760375309206902,3215.810844148604,5000,-1861.247923769216
14668,1,0.9760375309206902,3215.810844148604,5000,-1861.247923769216
14230,1,0.9758816567911139,3209.430001746599,5000,-1867.9761325404215
14666,1,0.9758816567911139,3194.7471752213055,5000,-1882.304833616301
14261,1,0.9758816567911139,3194.7471752213055,5000,-1882.304833616301
14238,1,0.9758816567911139,3192.0644238397063,5000,-1884.922881479335
13994,1,0.9743387138571821,3196.0349941285253,5000,-1885.9793743782661
16594,1,0.9636007008825747,3229.0123552909154,5000,-1888.5214312831808
16598,1,0.9636007008825747,3229.0123552909154,5000,-1888.5214312831808
14673,1,0.9760375309206902,3185.5189383571046,5000,-1890.8139607048333
13997,1,0.9743387138571821,3190.912822193726,5000,-1890.970104793374
16595,1,0.9625598686475751,3229.866754587404,5000,-1891.0598809551784
14032,1,0.9743387138571821,3184.708800354778,5000,-1897.0149234526766
14323,1,0.9760375309206902,3178.247276470455,5000,-1897.9113756183688
16828,1,0.9636007008825747,3217.8945619341894,5000,-1899.2345447539897
16831,1,0.9636007008825747,3215.3569473620023,5000,-1901.679791934319
16827,1,0.9636007008825747,3214.1517314563334,5000,-1902.8411388257364
13965,1,0.9743387138571821,3175.0769298922164,5000,-1906.3996277312076
14676,1,0.9758816567911139,3169.5472473133514,5000,-1906.896981014132
14310,1,0.9760375309206902,3161.769368109781,5000,-1913.9944326094583
14039,1,0.9741828397276059,3164.2432548230777,5000,-1917.4485204275315
14236,1,0.9766010856359384,3154.839290221994,5000,-1918.9805241622876
